,delta_sigma_eta,betas,varnames,specification,IV_varnames
292,4.406796825017588,,,,
293,3.8632877003007398,,,,
294,2.6533509546890715,,,,
295,4.5263138212902785,,,,
296,3.388563638773743,,,,
297,5.769194697952713,,,,
298,7.358534013485587,,,,
299,7.437790065316356,,,,
300,1.4702277918619249,,,,
301,-1.336755543068184e-11,,,,
302,-7.533379691957709e-12,,,,
303,-1.7373532455157804e-13,,,,
304,-1.3432195550746345e-11,,,,
305,1.9137245875784948e-12,,,,
