,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-1.6283407215229417,4.883070735959464,x1,iv_x2,x2_other1
1,5.626797663682631,0.9468455154096717,x2,,x2_other2
2,4.237602161345268,1.0220167395408215,x3,,
3,4.770972078375428,-0.9707660527201838,price,,
4,4.060107300856677,,,,
5,5.662352443323746,,,,
6,3.8902426477738334,,,,
7,3.486220025193666,,,,
8,3.016015410360911,,,,
9,0.22052863653114252,,,,
10,3.7270629920237615,,,,
11,2.439033187587425,,,,
12,1.8684893558534375,,,,
13,3.6799969988729404,,,,
14,3.322495156489175,,,,
15,1.8677278397619903,,,,
16,2.1998121004912647,,,,
17,1.5708723836403624,,,,
18,2.341763462042631,,,,
19,1.862105163665458,,,,
20,1.2227827615249423,,,,
21,-2.5336106552881605,,,,
22,2.7662753738979613,,,,
23,0.7004692089619631,,,,
24,0.430454101333928,,,,
25,5.065217439414202,,,,
26,5.5609737215026716,,,,
27,-0.02426133200562742,,,,
28,4.480709238356159,,,,
29,0.20197696724373398,,,,
30,0.9887828530481504,,,,
31,2.0462072002052687,,,,
32,0.31125241267301557,,,,
33,1.6881868313856605,,,,
34,4.2417715781200656,,,,
35,3.373448686958243,,,,
36,-0.6213833113162468,,,,
37,4.179597322455046,,,,
38,2.9046249778968503,,,,
39,3.5144763434500517,,,,
40,3.0600182866860632,,,,
41,3.2891338571891198,,,,
42,0.5729379110123043,,,,
43,3.001869296142371,,,,
44,3.810489083208822,,,,
45,2.0424039411646913,,,,
46,2.0265408594543937,,,,
47,4.102591557845896,,,,
48,0.3038866510663392,,,,
49,5.511709421597163,,,,
50,3.644046753252946,,,,
51,1.8992545495716788,,,,
52,3.2536533935681216,,,,
53,0.7531334990645451,,,,
54,4.207445599592685,,,,
55,2.177227786059096,,,,
56,4.292018071042556,,,,
57,1.298570008840065,,,,
58,2.2297108254735325,,,,
59,0.37476799588682075,,,,
60,0.41177568610470966,,,,
61,0.9731623612006326,,,,
62,1.4597195080412568,,,,
63,1.3067411303832566,,,,
64,3.877388463865118,,,,
65,3.4090174151341395,,,,
66,-2.668718249392515,,,,
67,5.602197322259481,,,,
68,5.182273886045704,,,,
69,3.4858161919567,,,,
70,3.4969408347826585,,,,
71,3.137760720885635,,,,
72,1.9841237889989707,,,,
73,4.293106873268923,,,,
74,3.5995921479640347,,,,
75,5.5604540041371076,,,,
76,1.5029321397774726,,,,
77,6.949447597125563,,,,
78,2.373476796972963,,,,
79,4.94521105868201,,,,
80,4.375884487812822,,,,
81,1.7544741876776244,,,,
82,5.241388281043756,,,,
83,4.13560332516896,,,,
84,0.20427570434182837,,,,
85,0.2002878895485878,,,,
86,1.205732707277251,,,,
87,2.6178455787641197,,,,
88,1.9910405908287112,,,,
89,0.3156077347037428,,,,
90,0.6623504249869476,,,,
91,6.300876806153675,,,,
92,4.67473788610601,,,,
93,-0.6504340381014775,,,,
94,5.526611196626452,,,,
95,4.81232489612318,,,,
96,2.6176458076859457,,,,
97,-1.3212331076177954,,,,
98,2.889489308327172,,,,
99,5.299011770155187,,,,
100,5.434549785209627,,,,
101,4.879095637881482,,,,
102,3.596015280693593,,,,
103,2.5139253035899136,,,,
104,3.82346092880016,,,,
105,2.675283467540458,,,,
106,-0.07935418868491514,,,,
107,3.1400020082560105,,,,
108,-0.941053453515753,,,,
109,-0.9284777591649263,,,,
110,3.81244295347053,,,,
111,-0.08790793136968478,,,,
112,2.1875250087274227,,,,
113,-0.9520078164936284,,,,
114,4.060053376284672,,,,
115,2.846175313753332,,,,
116,3.8044248938989416,,,,
117,2.8123372220448397,,,,
118,3.120677363834354,,,,
119,1.5681629414942944,,,,
120,5.213022539156156,,,,
121,0.8707670882736931,,,,
122,5.136234691642925,,,,
123,0.9253367234712149,,,,
124,2.689620952661313,,,,
125,2.773108783068877,,,,
126,1.9450596958126845,,,,
127,2.0478629833839395,,,,
128,4.186867915763407,,,,
129,2.153878180277902,,,,
130,1.4910388149873657,,,,
131,1.7749205986233747,,,,
132,2.12717544789382,,,,
133,-1.2034117131444535,,,,
134,1.8341360289772999,,,,
135,1.1066056940379083,,,,
136,3.8126611758651907,,,,
137,3.035078234112864,,,,
138,4.013073912879198,,,,
139,2.625290590049084,,,,
140,4.071932872869231,,,,
141,1.800678595648991,,,,
142,2.9379352626588604,,,,
143,0.8295654738302654,,,,
144,5.815854457254924,,,,
145,0.7544000550107876,,,,
146,4.121562984908661,,,,
147,1.3108028244461072,,,,
148,3.405947631858147,,,,
149,3.9588467073492546,,,,
150,2.5992340622528984,,,,
151,3.8945443450123953,,,,
152,1.1120041172496853,,,,
153,1.9640602333402117,,,,
154,3.66952103023269,,,,
155,4.483907207466513,,,,
156,1.7608438197818208,,,,
157,3.3810918959633094,,,,
158,3.5640217310996647,,,,
159,1.5352748533746483,,,,
160,1.6737205964974007,,,,
161,4.2421430030639575,,,,
162,5.466082470294186,,,,
163,5.004455156447175,,,,
164,0.613883689282069,,,,
165,4.237899813042231,,,,
166,1.5870460826962998,,,,
167,2.1733388422113697,,,,
168,1.792624143116738,,,,
169,2.223399920560143,,,,
170,2.772396411971453,,,,
171,-0.5460764239672641,,,,
172,2.8529798919149574,,,,
173,1.4835493091107563,,,,
174,0.6336182175296167,,,,
175,2.8468187212558984,,,,
176,3.013156269568641,,,,
177,5.085198787710413,,,,
178,4.1284447403826725,,,,
179,3.9267120382270084,,,,
180,3.5621986615370185,,,,
181,5.296472390867853,,,,
182,2.3020162584710278,,,,
183,2.3752724423416867,,,,
184,4.624963318489113,,,,
185,4.814557364661655,,,,
186,-1.2009723807415609,,,,
187,4.169743849047137,,,,
188,1.6365982866023243,,,,
189,2.10349428985544,,,,
190,4.4699320595500485,,,,
191,1.0737982668940795,,,,
192,2.990240639915876,,,,
193,3.6175496807475835,,,,
194,-0.5294344278438511,,,,
195,1.1854426304120607,,,,
196,4.571532688214635,,,,
197,1.8062353897683334,,,,
198,2.635817068772336,,,,
199,3.6029381027898673,,,,
200,4.9647872789855825,,,,
201,3.4564529540648397,,,,
202,2.2129537671390147,,,,
203,2.221019005746821,,,,
204,-0.5210846349691948,,,,
205,0.6046594954086507,,,,
206,-0.6989228867811232,,,,
207,-1.1267561678029627,,,,
208,2.732037269292148,,,,
209,-0.8906008100550922,,,,
210,0.5950803949378192,,,,
