,delta_sigma_eta,betas,varnames,specification,IV_varnames
211,2.3228280555355143,,,,
212,-0.8214321923102923,,,,
213,0.4171110945218042,,,,
214,4.694582469024128,,,,
215,1.596353954293302,,,,
216,3.8106648584932867,,,,
217,3.665516028759425,,,,
218,3.9931040487803755,,,,
219,4.156674520002551,,,,
220,3.7165715005643087,,,,
221,3.9002218709361913,,,,
222,1.749741069194904,,,,
223,1.6434688887767757,,,,
224,1.7864776095931794,,,,
225,2.6956762606329425,,,,
226,3.507561037324669,,,,
227,-0.5942429309226875,,,,
228,1.4328072572896187,,,,
229,2.3339194334311966,,,,
230,3.107823025811033,,,,
231,1.7249225589841584,,,,
232,-0.03790418038796652,,,,
233,-0.052220112620304834,,,,
234,1.646797267964266,,,,
235,2.0569381949773446,,,,
236,4.13797405617824,,,,
237,2.0094554487403324,,,,
238,4.582078646986404,,,,
239,4.704167961363565,,,,
240,2.7048068607943883,,,,
241,3.3877609405451374,,,,
242,1.1766942266832192,,,,
243,3.2828676389137157,,,,
244,3.9878933331052973,,,,
245,2.2342966831427953,,,,
246,0.5729074264838904,,,,
247,7.288058440983352,,,,
248,4.952709345572863,,,,
249,1.9897662409085675,,,,
250,-1.7460660874804526,,,,
251,-2.0686618499339384,,,,
252,2.8532721863643333,,,,
253,3.3512301991226536,,,,
254,3.5380275725001638,,,,
255,3.3242046826376055,,,,
256,3.0769784565187552,,,,
257,0.926374956743978,,,,
258,2.036377596195143,,,,
259,3.046647673601353,,,,
260,2.4328354515103543,,,,
261,1.1141786176756425,,,,
262,3.598129300164705,,,,
263,-0.06566439050194797,,,,
264,1.66333865234688,,,,
265,0.6119468265622123,,,,
266,2.0216344826900685,,,,
267,4.699398964414799,,,,
268,4.832996213230933,,,,
269,4.299336617918408,,,,
270,-0.48760924447509596,,,,
271,3.3374355427845313,,,,
272,4.223506904026924,,,,
273,1.4002145306030258,,,,
274,2.9298095968876225,,,,
275,1.7439026772750206,,,,
276,-1.091955936881505,,,,
277,0.40147131927009405,,,,
278,0.465093826157454,,,,
279,0.8011072141933415,,,,
280,3.142863999533547,,,,
281,1.9421918286815352,,,,
282,-1.7785722371143933,,,,
283,1.2365018014313336,,,,
284,1.833407264983316,,,,
285,-0.301807798464628,,,,
286,2.4549307789201396,,,,
287,4.602436183641106,,,,
288,3.059271699801917,,,,
289,3.2456273210390285,,,,
290,1.5873002945182246,,,,
291,1.0529484435663843,,,,
292,2.882170583502564,,,,
293,2.2909147586194623,,,,
294,0.9889712123871927,,,,
295,3.0670597604670395,,,,
296,2.306949677513585,,,,
297,3.3258150041746397,,,,
298,4.890170360740822,,,,
299,5.285511198499271,,,,
300,0.9777341505571241,,,,
301,2.102948271180637e-10,,,,
302,1.0739915152250553e-10,,,,
303,7.876079347415602e-12,,,,
304,1.1749629760549738e-10,,,,
305,9.229385895040223e-11,,,,
