,delta_sigma_eta,betas,varnames,specification,IV_varnames
71,8.806616187263058,,,,
72,12.635169596258512,,,,
73,13.238839008743168,,,,
74,12.87932963542646,,,,
75,20.506278471456636,,,,
76,17.359353825933663,,,,
77,21.928634890217793,,,,
78,12.799062878399067,,,,
79,14.9085052077106,,,,
80,13.009777547723253,,,,
81,14.52360781760538,,,,
82,16.352273503123538,,,,
83,15.32963246687449,,,,
84,4.911402785158559,,,,
85,4.673348059764286,,,,
86,5.266857071199029,,,,
87,9.071339002172278,,,,
88,8.051630347525029,,,,
89,6.290105708212328,,,,
90,15.61715259593777,,,,
91,19.20388960369073,,,,
92,18.224551110759432,,,,
93,12.21955834994885,,,,
94,16.00297840437946,,,,
95,17.380461928479974,,,,
96,9.490695238934737,,,,
97,6.3175754404710505,,,,
98,9.799754150689278,,,,
99,15.897165151364797,,,,
100,16.180632565572928,,,,
101,16.818124014353753,,,,
102,11.736595901286694,,,,
103,11.564106637115406,,,,
104,11.355572258266674,,,,
105,9.633601656059936,,,,
106,7.865819486944249,,,,
107,10.332500420029232,,,,
108,8.34797030933103,,,,
109,8.32815810671719,,,,
110,11.892490708963964,,,,
111,5.871039228297014,,,,
112,6.753009227873534,,,,
113,5.0329472898182805,,,,
114,13.663958979300993,,,,
115,11.472253629616862,,,,
116,10.542384204329258,,,,
117,10.78989395389895,,,,
118,11.061608987973772,,,,
119,7.0749154035268615,,,,
120,15.247362589891255,,,,
121,11.588695762616688,,,,
122,14.060935531991959,,,,
123,7.366045704163006,,,,
124,6.757308475561326,,,,
125,9.319177497733712,,,,
126,11.707149670006332,,,,
127,10.968098293103324,,,,
128,11.965878781429097,,,,
129,6.965174125619149,,,,
130,4.463864838687308,,,,
131,7.057183136479978,,,,
132,7.7808676268327925,,,,
133,5.156600954123265,,,,
134,5.8881885469481965,,,,
135,10.15115619796631,,,,
136,12.545477868113148,,,,
137,10.185462115638394,,,,
138,14.24128788801588,,,,
139,9.791068231448289,,,,
140,13.024847795591294,,,,
141,9.387707503451358,,,,
142,9.116047545283084,,,,
143,7.563162866324426,,,,
144,14.885782663302427,,,,
145,11.483134079239441,,,,
146,11.221962673188104,,,,
147,9.962422269220093,,,,
148,9.723916192855485,,,,
149,11.96639806784787,,,,
150,10.26295071245207,,,,
151,12.019311859912637,,,,
152,10.175848233982228,,,,
153,11.804528037125545,,,,
154,10.89471538299076,,,,
155,13.02634142015749,,,,
156,9.834975629305404,,,,
157,9.337562667304024,,,,
158,11.688237355316543,,,,
159,11.923743569752695,,,,
160,10.256051976615833,,,,
161,12.74090223920696,,,,
162,17.153038264027096,,,,
163,16.847150075573794,,,,
164,12.20164408047276,,,,
165,12.964979866572364,,,,
166,9.37366243796174,,,,
167,10.898790706034225,,,,
168,8.535093016579388,,,,
169,8.578382664099502,,,,
170,7.543628942581652,,,,
171,6.2461879073905955,,,,
172,8.10574761662047,,,,
173,8.731457761749104,,,,
174,9.401273102762714,,,,
175,10.208476162260068,,,,
176,9.28188119411279,,,,
177,14.917561163387823,,,,
178,12.762387996457823,,,,
179,14.694739099698921,,,,
180,15.624526057449346,,,,
181,15.52209688700867,,,,
182,11.33955256964635,,,,
183,13.626608116717508,,,,
184,13.489103699177308,,,,
185,15.428497273462195,,,,
186,9.369924410411423,,,,
187,12.831635830813521,,,,
188,11.05127160535882,,,,
189,12.241868093381953,,,,
190,13.326620493030847,,,,
191,8.50850639703844,,,,
192,11.380718911333867,,,,
193,10.840421196157944,,,,
194,8.748549542922692,,,,
195,11.888505307552343,,,,
